timestamp,open,high,low,close,volume
2012-11-15 14:00:00+00:00,0.94371,0.9442,0.94326,0.9438,5255
2012-11-15 15:00:00+00:00,0.9438,0.94385,0.94191,0.9422,6119
2012-11-15 16:00:00+00:00,0.94219,0.9424,0.94028,0.94118,6533
2012-11-15 17:00:00+00:00,0.94119,0.94219,0.94116,0.94181,5415
2012-11-15 18:00:00+00:00,0.94175,0.94261,0.9415,0.94253,4040
2012-11-15 19:00:00+00:00,0.94252,0.94269,0.94171,0.9422,3579
2012-11-15 20:00:00+00:00,0.94221,0.94247,0.94211,0.94221,2792
2012-11-15 21:00:00+00:00,0.94219,0.94332,0.94217,0.94271,3590
2012-11-15 22:00:00+00:00,0.94274,0.94279,0.94195,0.94202,2412
2012-11-15 23:00:00+00:00,0.94201,0.94238,0.94174,0.94202,1926
2012-11-16 00:00:00+00:00,0.94202,0.94238,0.942,0.94226,1751
2012-11-16 01:00:00+00:00,0.94225,0.94306,0.9421,0.94268,2276
2012-11-16 02:00:00+00:00,0.94268,0.94294,0.94241,0.94271,2343
2012-11-16 03:00:00+00:00,0.94273,0.94329,0.9426,0.94304,2135
2012-11-16 04:00:00+00:00,0.94303,0.94345,0.94238,0.94277,2355
2012-11-16 05:00:00+00:00,0.94278,0.94308,0.94259,0.94283,1912
2012-11-16 06:00:00+00:00,0.94282,0.94319,0.94244,0.94308,2341
2012-11-16 07:00:00+00:00,0.94305,0.94397,0.94271,0.94383,3118
2012-11-16 08:00:00+00:00,0.94387,0.94451,0.94343,0.94394,4389
2012-11-16 09:00:00+00:00,0.94395,0.9449,0.9436,0.94406,5268
2012-11-16 10:00:00+00:00,0.94401,0.94603,0.94401,0.94544,5152
2012-11-16 11:00:00+00:00,0.94545,0.94617,0.94515,0.9458,4822
2012-11-16 12:00:00+00:00,0.94583,0.94621,0.94523,0.94553,4044
2012-11-16 13:00:00+00:00,0.94555,0.94602,0.9448,0.94502,4250
2012-11-16 14:00:00+00:00,0.94501,0.94539,0.94423,0.94534,4854
2012-11-16 15:00:00+00:00,0.94533,0.9461,0.94468,0.94589,5377
2012-11-16 16:00:00+00:00,0.94588,0.94901,0.94575,0.94788,6510
2012-11-16 17:00:00+00:00,0.9479,0.94867,0.94708,0.9472,6059
2012-11-16 18:00:00+00:00,0.94719,0.94747,0.94609,0.94673,5011
2012-11-16 19:00:00+00:00,0.94672,0.94705,0.9459,0.94629,3637
2012-11-16 20:00:00+00:00,0.94627,0.94692,0.94621,0.94638,3213
2012-11-16 21:00:00+00:00,0.94632,0.94674,0.94505,0.94558,3603
2012-11-16 22:00:00+00:00,0.94557,0.9457,0.94516,0.94524,2040
2012-11-16 23:00:00+00:00,0.94528,0.94528,0.94528,0.94528,1
2012-11-19 00:00:00+00:00,0.94527,0.94547,0.94411,0.94427,3048
2012-11-19 01:00:00+00:00,0.94428,0.9455,0.94423,0.9452,3245
2012-11-19 02:00:00+00:00,0.9452,0.94532,0.94437,0.94495,2953
2012-11-19 03:00:00+00:00,0.94496,0.9451,0.94373,0.94387,3083
2012-11-19 04:00:00+00:00,0.94387,0.94428,0.94383,0.94418,1827
2012-11-19 05:00:00+00:00,0.94417,0.94469,0.94408,0.94466,1636
2012-11-19 06:00:00+00:00,0.94467,0.94492,0.9443,0.94485,2595
2012-11-19 07:00:00+00:00,0.9448,0.94494,0.94384,0.94409,2530
2012-11-19 08:00:00+00:00,0.94407,0.94446,0.94351,0.9444,3857
2012-11-19 09:00:00+00:00,0.94442,0.94504,0.9426,0.94292,5285
2012-11-19 10:00:00+00:00,0.94294,0.944,0.94285,0.9433,4503
2012-11-19 11:00:00+00:00,0.94332,0.9441,0.94296,0.94333,4039
2012-11-19 12:00:00+00:00,0.94328,0.94365,0.9426,0.94327,3754
2012-11-19 13:00:00+00:00,0.94326,0.94408,0.94318,0.94371,3549
2012-11-19 14:00:00+00:00,0.94372,0.94405,0.94297,0.94313,4413
2012-11-19 15:00:00+00:00,0.94313,0.94321,0.94176,0.94191,5184
2012-11-19 16:00:00+00:00,0.94186,0.94265,0.9394,0.93977,6233
2012-11-19 17:00:00+00:00,0.93976,0.94052,0.93958,0.94031,4846
2012-11-19 18:00:00+00:00,0.94032,0.94082,0.93993,0.94062,3399
2012-11-19 19:00:00+00:00,0.94063,0.94071,0.94021,0.94046,2290
2012-11-19 20:00:00+00:00,0.94045,0.94056,0.9399,0.94014,2624
2012-11-19 21:00:00+00:00,0.94015,0.94068,0.93988,0.94012,2802
2012-11-19 22:00:00+00:00,0.94011,0.94012,0.93962,0.93974,2335
2012-11-19 23:00:00+00:00,0.93975,0.94269,0.93954,0.94172,4553
2012-11-20 00:00:00+00:00,0.94172,0.94277,0.94135,0.94272,2595
2012-11-20 01:00:00+00:00,0.94273,0.94279,0.94162,0.94193,2538
2012-11-20 02:00:00+00:00,0.94192,0.94228,0.9414,0.94185,2293
2012-11-20 03:00:00+00:00,0.94187,0.94204,0.94155,0.94165,1820
2012-11-20 04:00:00+00:00,0.94166,0.9419,0.94008,0.94054,3031
2012-11-20 05:00:00+00:00,0.94055,0.94111,0.94032,0.94096,1918
2012-11-20 06:00:00+00:00,0.94099,0.94125,0.94077,0.94093,3123
2012-11-20 07:00:00+00:00,0.941,0.94215,0.9409,0.94187,3278
2012-11-20 08:00:00+00:00,0.94186,0.9422,0.94049,0.94176,4438
2012-11-20 09:00:00+00:00,0.94172,0.94285,0.93982,0.94223,5706
2012-11-20 10:00:00+00:00,0.94225,0.94231,0.94089,0.94153,4643
2012-11-20 11:00:00+00:00,0.94152,0.94161,0.93987,0.94048,4698
2012-11-20 12:00:00+00:00,0.94049,0.94096,0.9398,0.94024,4122
2012-11-20 13:00:00+00:00,0.94024,0.94149,0.94002,0.94109,4516
2012-11-20 14:00:00+00:00,0.94111,0.94118,0.93912,0.9405,5103
2012-11-20 15:00:00+00:00,0.9405,0.9421,0.94046,0.94099,5372
2012-11-20 16:00:00+00:00,0.94101,0.94142,0.94039,0.94119,5145
2012-11-20 17:00:00+00:00,0.94116,0.94142,0.93993,0.94025,4695
2012-11-20 18:00:00+00:00,0.94026,0.94106,0.93969,0.94054,3959
2012-11-20 19:00:00+00:00,0.9406,0.94131,0.94035,0.94062,3933
2012-11-20 20:00:00+00:00,0.94065,0.941,0.94047,0.94047,2777
2012-11-20 21:00:00+00:00,0.94047,0.94058,0.93968,0.93969,3033
2012-11-20 22:00:00+00:00,0.93968,0.9401,0.93964,0.93989,2042
2012-11-20 23:00:00+00:00,0.93987,0.94017,0.9397,0.93998,2038
2012-11-21 00:00:00+00:00,0.93999,0.94035,0.93978,0.94019,1822
2012-11-21 01:00:00+00:00,0.94021,0.94048,0.93996,0.94016,2240
2012-11-21 02:00:00+00:00,0.94016,0.94093,0.94009,0.9405,2386
2012-11-21 03:00:00+00:00,0.94051,0.94106,0.94017,0.94093,2010
2012-11-21 04:00:00+00:00,0.94094,0.94416,0.93957,0.94364,3963
2012-11-21 05:00:00+00:00,0.94363,0.94572,0.94356,0.94478,4378
2012-11-21 06:00:00+00:00,0.94478,0.94496,0.94436,0.94443,3257
2012-11-21 07:00:00+00:00,0.94447,0.9448,0.94392,0.94444,3288
2012-11-21 08:00:00+00:00,0.94446,0.94545,0.9434,0.94374,4845
2012-11-21 09:00:00+00:00,0.94373,0.94445,0.94341,0.94342,4987
2012-11-21 10:00:00+00:00,0.94343,0.94343,0.94122,0.94206,5356
2012-11-21 11:00:00+00:00,0.94207,0.94237,0.94119,0.94128,4583
2012-11-21 12:00:00+00:00,0.94131,0.94165,0.93959,0.94004,4982
2012-11-21 13:00:00+00:00,0.94005,0.94075,0.93985,0.94043,4362
2012-11-21 14:00:00+00:00,0.9405,0.94052,0.93916,0.93941,4978
2012-11-21 15:00:00+00:00,0.93938,0.9398,0.93816,0.93893,5511
2012-11-21 16:00:00+00:00,0.93894,0.93965,0.93856,0.9393,5402
2012-11-21 17:00:00+00:00,0.93931,0.93947,0.93882,0.93938,4324
2012-11-21 18:00:00+00:00,0.93936,0.93949,0.93821,0.93831,3363
2012-11-21 19:00:00+00:00,0.93836,0.93872,0.9382,0.93862,2316
2012-11-21 20:00:00+00:00,0.93862,0.93896,0.93849,0.93878,1923
2012-11-21 21:00:00+00:00,0.9388,0.93909,0.93871,0.93893,2018
2012-11-21 22:00:00+00:00,0.93894,0.93903,0.93849,0.93857,1911
2012-11-21 23:00:00+00:00,0.93858,0.93881,0.93842,0.93862,2266
2012-11-22 00:00:00+00:00,0.93862,0.93863,0.93574,0.93641,3432
2012-11-22 01:00:00+00:00,0.93641,0.93726,0.93641,0.93689,2556
2012-11-22 02:00:00+00:00,0.93689,0.93755,0.93659,0.93733,3198
2012-11-22 03:00:00+00:00,0.93732,0.93796,0.9371,0.93751,2707
2012-11-22 04:00:00+00:00,0.93748,0.93805,0.93741,0.93782,2409
2012-11-22 05:00:00+00:00,0.93783,0.93843,0.9378,0.938,2619
2012-11-22 06:00:00+00:00,0.938,0.93808,0.9375,0.93753,2328
2012-11-22 07:00:00+00:00,0.93755,0.93794,0.93747,0.93786,2220
2012-11-22 08:00:00+00:00,0.93787,0.93806,0.93689,0.93765,4212
2012-11-22 09:00:00+00:00,0.93762,0.93834,0.93612,0.93639,5433
2012-11-22 10:00:00+00:00,0.93637,0.93775,0.93603,0.93737,4999
2012-11-22 11:00:00+00:00,0.93736,0.93756,0.93608,0.93643,4449
2012-11-22 12:00:00+00:00,0.93645,0.93659,0.9349,0.93544,4304
2012-11-22 13:00:00+00:00,0.93545,0.93565,0.93373,0.934,4398
2012-11-22 14:00:00+00:00,0.93404,0.93485,0.93381,0.93482,4310
2012-11-22 15:00:00+00:00,0.93481,0.93601,0.9345,0.93523,4597
2012-11-22 16:00:00+00:00,0.93522,0.93579,0.93427,0.93484,4371
2012-11-22 17:00:00+00:00,0.93481,0.93611,0.93479,0.93566,3721
2012-11-22 18:00:00+00:00,0.93569,0.93671,0.93526,0.93665,3538
2012-11-22 19:00:00+00:00,0.93664,0.93676,0.93577,0.93631,2854
2012-11-22 20:00:00+00:00,0.93632,0.93634,0.93483,0.93493,2667
2012-11-22 21:00:00+00:00,0.93495,0.93561,0.93475,0.93498,2862
2012-11-22 22:00:00+00:00,0.93499,0.93523,0.93459,0.9349,3015
2012-11-22 23:00:00+00:00,0.93485,0.93534,0.93385,0.93513,2244
2012-11-23 00:00:00+00:00,0.93514,0.93569,0.93488,0.93535,2104
2012-11-23 01:00:00+00:00,0.93532,0.93574,0.93509,0.93509,2100
2012-11-23 02:00:00+00:00,0.9351,0.93533,0.93464,0.93465,1852
2012-11-23 03:00:00+00:00,0.93464,0.9349,0.93439,0.93475,1951
2012-11-23 04:00:00+00:00,0.93474,0.93491,0.93445,0.93456,1632
2012-11-23 05:00:00+00:00,0.93454,0.9348,0.93433,0.93456,1790
2012-11-23 06:00:00+00:00,0.93458,0.93496,0.93438,0.93443,1876
2012-11-23 07:00:00+00:00,0.93442,0.9351,0.9338,0.93489,2722
2012-11-23 08:00:00+00:00,0.93487,0.9349,0.93308,0.93334,4106
2012-11-23 09:00:00+00:00,0.93339,0.93541,0.93314,0.93522,5421
2012-11-23 10:00:00+00:00,0.93522,0.9356,0.93306,0.93399,5595
2012-11-23 11:00:00+00:00,0.93402,0.935,0.93387,0.93472,4805
2012-11-23 12:00:00+00:00,0.93469,0.93484,0.93357,0.93409,4242
2012-11-23 13:00:00+00:00,0.93414,0.93444,0.93334,0.93337,3979
2012-11-23 14:00:00+00:00,0.93333,0.93358,0.93161,0.9317,5594
2012-11-23 15:00:00+00:00,0.93171,0.93215,0.93066,0.93073,5643
2012-11-23 16:00:00+00:00,0.93071,0.93091,0.9287,0.92956,6203
2012-11-23 17:00:00+00:00,0.92954,0.92993,0.9289,0.9295,4701
2012-11-23 18:00:00+00:00,0.9295,0.92958,0.92651,0.92737,5437
2012-11-23 19:00:00+00:00,0.92738,0.92827,0.92738,0.92804,3113
2012-11-23 20:00:00+00:00,0.92808,0.92831,0.92793,0.92822,1771
2012-11-23 21:00:00+00:00,0.92821,0.92844,0.92767,0.92776,2211
2012-11-23 22:00:00+00:00,0.92778,0.9283,0.92748,0.92767,2278
2012-11-23 23:00:00+00:00,0.92761,0.92764,0.92761,0.92764,2
2012-11-26 00:00:00+00:00,0.92812,0.92853,0.92769,0.92791,2638
2012-11-26 01:00:00+00:00,0.92791,0.9291,0.92786,0.92887,2711
2012-11-26 02:00:00+00:00,0.92887,0.92929,0.92861,0.92925,2459
2012-11-26 03:00:00+00:00,0.92925,0.92944,0.92901,0.92927,2331
2012-11-26 04:00:00+00:00,0.92928,0.92936,0.9287,0.92874,2090
2012-11-26 05:00:00+00:00,0.92877,0.92936,0.92874,0.92898,1837
2012-11-26 06:00:00+00:00,0.92897,0.9295,0.92869,0.92911,2371
2012-11-26 07:00:00+00:00,0.92906,0.92988,0.92885,0.92913,2898
2012-11-26 08:00:00+00:00,0.92912,0.92918,0.92751,0.92825,4597
2012-11-26 09:00:00+00:00,0.92826,0.92972,0.92807,0.92965,5385
2012-11-26 10:00:00+00:00,0.92961,0.92997,0.92861,0.92864,4826
2012-11-26 11:00:00+00:00,0.92862,0.92974,0.92853,0.92887,4127
2012-11-26 12:00:00+00:00,0.92887,0.92903,0.92779,0.92887,4239
2012-11-26 13:00:00+00:00,0.92893,0.92985,0.92851,0.92925,4174
2012-11-26 14:00:00+00:00,0.92926,0.92961,0.92829,0.92853,4689
2012-11-26 15:00:00+00:00,0.92846,0.92938,0.92834,0.92889,4919
2012-11-26 16:00:00+00:00,0.9289,0.92892,0.92807,0.92857,5499
2012-11-26 17:00:00+00:00,0.92858,0.92907,0.92834,0.92845,3784
2012-11-26 18:00:00+00:00,0.92843,0.92878,0.92788,0.92878,3481
2012-11-26 19:00:00+00:00,0.92875,0.92883,0.9282,0.92873,3007
2012-11-26 20:00:00+00:00,0.92869,0.92878,0.9283,0.92861,2412
2012-11-26 21:00:00+00:00,0.92859,0.92877,0.92755,0.92784,2990
2012-11-26 22:00:00+00:00,0.92785,0.92806,0.92748,0.92757,2440
2012-11-26 23:00:00+00:00,0.92757,0.9277,0.92541,0.92642,4223
2012-11-27 00:00:00+00:00,0.92642,0.9279,0.92642,0.92656,2987
2012-11-27 01:00:00+00:00,0.92657,0.92732,0.92565,0.92691,3880
2012-11-27 02:00:00+00:00,0.92692,0.92765,0.92633,0.92756,2804
2012-11-27 03:00:00+00:00,0.92756,0.92767,0.9273,0.92758,2000
2012-11-27 04:00:00+00:00,0.92761,0.92802,0.92735,0.92743,1980
2012-11-27 05:00:00+00:00,0.92745,0.92757,0.92709,0.92724,2028
2012-11-27 06:00:00+00:00,0.92725,0.92789,0.9271,0.92746,2765
2012-11-27 07:00:00+00:00,0.92744,0.92756,0.92702,0.92715,2998
2012-11-27 08:00:00+00:00,0.92715,0.92785,0.92686,0.92712,4601
2012-11-27 09:00:00+00:00,0.92711,0.92867,0.92695,0.92783,5284
2012-11-27 10:00:00+00:00,0.9278,0.92944,0.92774,0.9293,5188
2012-11-27 11:00:00+00:00,0.92931,0.93038,0.92924,0.93009,5216
2012-11-27 12:00:00+00:00,0.93011,0.93067,0.92951,0.92955,4495
2012-11-27 13:00:00+00:00,0.92959,0.92969,0.92843,0.9288,4628
2012-11-27 14:00:00+00:00,0.92879,0.9301,0.92829,0.93006,5216
2012-11-27 15:00:00+00:00,0.93007,0.93112,0.92977,0.93049,5872
2012-11-27 16:00:00+00:00,0.93048,0.93241,0.93021,0.93136,6040
2012-11-27 17:00:00+00:00,0.93135,0.93159,0.9307,0.93095,4664
2012-11-27 18:00:00+00:00,0.93096,0.93112,0.93047,0.93071,3455
2012-11-27 19:00:00+00:00,0.93072,0.93117,0.93063,0.93077,3281
2012-11-27 20:00:00+00:00,0.93074,0.93127,0.93064,0.9307,3432
2012-11-27 21:00:00+00:00,0.93071,0.93114,0.93053,0.93112,2961
2012-11-27 22:00:00+00:00,0.93111,0.93111,0.93021,0.9303,2151
2012-11-27 23:00:00+00:00,0.93027,0.93064,0.93002,0.93041,2534
2012-11-28 00:00:00+00:00,0.93042,0.9306,0.93018,0.93054,2416
2012-11-28 01:00:00+00:00,0.93055,0.93067,0.93038,0.93043,2496
2012-11-28 02:00:00+00:00,0.93045,0.93124,0.93042,0.93083,3229
2012-11-28 03:00:00+00:00,0.93084,0.93095,0.93029,0.93066,2224
2012-11-28 04:00:00+00:00,0.93067,0.93127,0.93065,0.93069,2457
2012-11-28 05:00:00+00:00,0.93071,0.93084,0.93028,0.9304,3027
2012-11-28 06:00:00+00:00,0.93041,0.9315,0.93038,0.93131,3342
2012-11-28 07:00:00+00:00,0.93129,0.93197,0.93117,0.93164,3643
2012-11-28 08:00:00+00:00,0.93171,0.93188,0.93099,0.93144,4030
2012-11-28 09:00:00+00:00,0.93145,0.93155,0.93033,0.931,5598
2012-11-28 10:00:00+00:00,0.93098,0.93166,0.9306,0.9313,5171
2012-11-28 11:00:00+00:00,0.9313,0.93155,0.93088,0.93141,4506
2012-11-28 12:00:00+00:00,0.93143,0.9332,0.93141,0.93313,5167
2012-11-28 13:00:00+00:00,0.93313,0.93346,0.93235,0.93321,4784
2012-11-28 14:00:00+00:00,0.93322,0.93405,0.93306,0.93328,5697
2012-11-28 15:00:00+00:00,0.93324,0.93383,0.93267,0.933,5371
2012-11-28 16:00:00+00:00,0.93302,0.93399,0.93121,0.93205,6563
2012-11-28 17:00:00+00:00,0.93206,0.93216,0.93059,0.93119,5642
2012-11-28 18:00:00+00:00,0.93118,0.9315,0.92959,0.9299,5299
2012-11-28 19:00:00+00:00,0.92988,0.9307,0.92985,0.93048,3519
2012-11-28 20:00:00+00:00,0.9305,0.93088,0.93038,0.93058,3038
2012-11-28 21:00:00+00:00,0.93057,0.93078,0.92978,0.92986,2929
2012-11-28 22:00:00+00:00,0.92987,0.93022,0.92891,0.92904,2362
2012-11-28 23:00:00+00:00,0.929,0.92935,0.92843,0.9291,3072
2012-11-29 00:00:00+00:00,0.92911,0.9294,0.92893,0.9293,2365
